PID,SID,ID,EID,ESID,NAME,NAME_SI,NAME_TA,CXP_OLDCODE
48,12,863,1-1-36-060,060,Werahera North,වේරහැර උතුර,‍வேர‍ஹேர வடக்கு,577
48,13,864,1-1-36-065,065,Boralesgamuwa East B,බොරලැස්ගමුව නැගෙනහිර බී,பொரலஸ்கமுவ கிழக்கு ' B ',533D
48,14,865,1-1-36-070,070,Neelammahara,නීලම්මහර,நீலம்மஹர,579
48,15,866,1-1-36-075,075,Katuwawala North,කටුවාවල උතුර,கட்டுவாவள வடக்கு,578
48,16,867,1-1-36-080,080,Vishwakalawa,විශ්වකලාව,விஷ்வகலாவ,574B
48,17,868,1-1-36-085,085,Werahera South,වේරහැර දකුණ,‍வேர‍ஹேர தெற்கு,577A
48,18,869,1-1-36-090,090,Katuwawala South,කටුවාවල දකුණ,கட்டுவாவள தெற்கு,578A
48,19,870,1-1-36-095,095,Niwanthidiya,නිවන්තිඩිය,நிவந்திடிய,580A
48,20,871,1-1-36-100,100,Erewwala West,ඇරැව්වල බටහිර,எரெவ்வள ‍மேற்கு,581A
48,21,872,1-1-36-105,105,Erewwala North,ඇරැව්වල උතුර,எரெவ்வள வடக்கு,581D
48,22,873,1-1-36-110,110,Erewwala East,ඇරැව්වල නැගෙනහිර,எரெவ்வள கிழக்கு,581
48,23,874,1-1-36-115,115,Rathmaldeniya,රත්මල්දෙනිය,ரத்மல்தெணிய,581C
48,24,875,1-1-36-120,120,Mahalwarawa,මහල්වරාව,மஹல்வரவ,581E
48,25,876,1-1-36-125,125,Bangalawatta,බංගලාවත්ත,பங்கலாவத்த,581B
48,26,877,1-1-36-130,130,Pelenwatta East,පැලන්වත්ත නැගෙනහිර,பெலெண்வத்த கிழக்கு,582B
48,27,878,1-1-36-135,135,Pelenwatta North,පැලන්වත්ත උතුර,பெலெண்வத்த வடக்கு,582
48,28,879,1-1-36-140,140,Pelenwatta West,පැලන්වත්ත බටහිර,பெலெண்வத்த ‍மேற்கு,582A
48,29,880,1-1-36-145,145,Paligedara,පලිගෙදර,பலிகெதர,583A
48,30,881,1-1-36-150,150,Kaliyammahara,කළියම්මහර,காலியம்மஹர,580
